language,model,mode,layer,n,clean,intervened,ctrl_random_position,ctrl_random_direction,ctrl_same_role,specificity,cases_scored,cases_available,git_commit
php,qwen2515b,patch,24,15,7.0625,1.301,5.3084,,,3.285,15,18,08e9d2335346
php,qwen2515b,patch,28,15,7.0625,7.0625,5.9145,,,0.0,15,18,08e9d2335346
php,qwen2515b,steer,0,7,6.5089,5.3516,6.4665,5.7377,,27.289,7,18,08e9d2335346
php,qwen2515b,steer,4,7,6.5089,5.6808,6.4408,6.49,,12.164,7,18,08e9d2335346
php,qwen2515b,steer,8,7,6.5089,5.4866,6.4788,6.4766,,33.926,7,18,08e9d2335346
php,qwen2515b,steer,12,7,6.5089,5.3683,6.5179,6.394,,127.75,7,18,08e9d2335346
php,qwen2515b,steer,16,7,6.5089,4.8371,6.3873,6.4431,,13.743,7,18,08e9d2335346
php,qwen2515b,steer,20,7,6.5089,4.1674,6.2701,6.298,,9.804,7,18,08e9d2335346
php,qwen2515b,steer,24,7,6.5089,3.75,6.4944,6.5525,,190.154,7,18,08e9d2335346
php,qwen2515b,steer,28,7,6.5089,6.5089,6.5089,6.5089,,,7,18,08e9d2335346
php,qwen25coder15b,ablate,0,16,6.666,-6.0078,5.0679,,,7.93,16,18,08e9d2335346
php,qwen25coder15b,ablate,4,16,6.666,-6.4707,5.5161,,,11.424,16,18,08e9d2335346
php,qwen25coder15b,ablate,8,16,6.666,-6.5254,6.0894,,,22.876,16,18,08e9d2335346
php,qwen25coder15b,ablate,12,16,6.666,-6.5273,6.415,,,52.568,16,18,08e9d2335346
php,qwen25coder15b,ablate,16,16,6.666,-6.7363,6.1611,,,26.545,16,18,08e9d2335346
